 ,Label,Area,Mean,Min,Max,X,Y,Ch,Frame
1,FRET_Rec.tif:Positive:c:1/6 - Sequence 003/T0_FRET034,67.702,124.870,5,255,134.861,520.232,1,1
2,FRET_Rec.tif:Positive:c:1/6 - Sequence 003/T0_FRET034,72.840,78.594,11,179,143.516,138.703,1,1
3,FRET_Rec.tif:Other:c:1/6 - Sequence 003/T0_FRET034,37.154,25.306,0,71,196.077,552.552,1,1
4,FRET_Rec.tif:Other:c:1/6 - Sequence 003/T0_FRET034,39.447,10.791,0,53,545.232,436.466,1,1
5,FRET_Rec.tif:Other:c:1/6 - Sequence 003/T0_FRET034,49.814,14.634,0,47,487.286,392.403,1,1
6,FRET_Rec.tif:Other:c:1/6 - Sequence 003/T0_FRET034,37.154,7.751,0,47,244.005,395.536,1,1
7,FRET_Rec.tif:Other:c:1/6 - Sequence 003/T0_FRET034,47.061,11.774,0,95,274.016,476.293,1,1
8,FRET_Rec.tif:Other:c:1/6 - Sequence 003/T0_FRET034,64.583,23.280,0,83,603.732,420.994,1,1
9,FRET_Rec.tif:Positive:c:1/6 - Sequence 003/T0_FRET034,88.894,130.472,0,255,283.049,169.758,1,1
10,FRET_Rec.tif:Other:c:1/6 - Sequence 003/T0_FRET034,39.447,5.884,0,47,212.489,243.882,1,1
11,FRET_Rec.tif:Other:c:1/6 - Sequence 003/T0_FRET034,82.105,14.821,0,71,194.150,508.665,1,1
12,FRET_Rec.tif:Positive:c:1/6 - Sequence 003/T0_FRET034,58.620,33.498,0,89,471.032,42.299,1,1
13,FRET_Rec.tif:Other:c:1/6 - Sequence 003/T0_FRET034,46.786,16.873,0,59,599.363,232.384,1,1
14,FRET_Rec.tif:Other:c:1/6 - Sequence 003/T0_FRET034,34.402,15.608,0,59,204.834,137.128,1,1
15,FRET_Rec.tif:Other:c:1/6 - Sequence 003/T0_FRET034,55.501,4.463,0,29,353.424,330.854,1,1
16,FRET_Rec.tif:Other:c:1/6 - Sequence 003/T0_FRET034,44.401,11.351,0,41,399.700,525.350,1,1
17,FRET_Rec.tif:Positive:c:1/6 - Sequence 003/T0_FRET034,55.134,28.371,0,71,187.234,610.626,1,1
18,FRET_Rec.tif:Positive:c:1/6 - Sequence 003/T0_FRET034,69.629,184.921,53,255,229.076,529.159,1,1
19,FRET_Rec.tif:Positive:c:1/6 - Sequence 003/T0_FRET034,85.408,22.530,0,77,136.392,12.606,1,1
20,FRET_Rec.tif:Other:c:1/6 - Sequence 003/T0_FRET034,51.740,36.725,0,89,173.055,506.007,1,1
21,FRET_Rec.tif:Positive:c:1/6 - Sequence 003/T0_FRET034,52.841,165.031,47,255,536.101,482.684,1,1
22,FRET_Rec.tif:Positive:c:1/6 - Sequence 003/T0_FRET034,68.161,74.650,5,155,54.930,269.173,1,1
23,FRET_Rec.tif:Positive:c:1/6 - Sequence 003/T0_FRET034,38.530,15.107,0,59,601.128,403.430,1,1
24,FRET_Rec.tif:Positive:c:1/6 - Sequence 003/T0_FRET034,59.813,44.727,5,107,505.404,232.281,1,1
25,FRET_Rec.tif:Positive:c:1/6 - Sequence 003/T0_FRET034,87.059,140.823,35,255,271.028,397.405,1,1
26,FRET_Rec.tif:Positive:c:1/6 - Sequence 003/T0_FRET034,66.326,97.884,0,251,371.646,283.318,1,1
27,FRET_Rec.tif:Other:c:1/6 - Sequence 003/T0_FRET034,38.622,9.209,0,35,178.271,482.295,1,1
28,FRET_Rec.tif:Other:c:1/6 - Sequence 003/T0_FRET034,41.649,19.993,0,59,20.488,597.538,1,1
29,FRET_Rec.tif:Other:c:1/6 - Sequence 003/T0_FRET034,55.593,8.513,0,41,389.237,332.503,1,1
30,FRET_Rec.tif:Other:c:1/6 - Sequence 003/T0_FRET034,43.759,22.581,0,53,179.895,270.152,1,1
31,FRET_Rec.tif:Positive:c:1/6 - Sequence 003/T0_FRET034,78.711,10.656,0,53,358.356,130.298,1,1
32,FRET_Rec.tif:Other:c:1/6 - Sequence 003/T0_FRET034,35.594,15.915,0,71,333.687,229.397,1,1
33,FRET_Rec.tif:Other:c:1/6 - Sequence 003/T0_FRET034,57.336,3.600,0,29,134.416,212.913,1,1
34,FRET_Rec.tif:Other:c:1/6 - Sequence 003/T0_FRET034,41.924,17.035,0,53,197.514,533.334,1,1
35,FRET_Rec.tif:Positive:c:1/6 - Sequence 003/T0_FRET034,73.390,65.496,0,155,332.209,433.689,1,1
36,FRET_Rec.tif:Positive:c:1/6 - Sequence 003/T0_FRET034,52.382,48.229,5,101,72.876,4.393,1,1
37,FRET_Rec.tif:Positive:c:1/6 - Sequence 003/T0_FRET034,59.813,18.448,0,53,473.674,280.792,1,1
38,FRET_Rec.tif:Other:c:1/6 - Sequence 003/T0_FRET034,43.851,20.234,0,89,557.826,545.812,1,1
39,FRET_Rec.tif:Other:c:1/6 - Sequence 003/T0_FRET034,82.564,41.227,5,95,147.951,530.399,1,1
40,FRET_Rec.tif:Other:c:1/6 - Sequence 003/T0_FRET034,42.108,13.682,0,65,401.182,385.005,1,1
41,FRET_Rec.tif:Positive:c:1/6 - Sequence 003/T0_FRET034,72.198,37.100,0,95,445.834,393.670,1,1
42,FRET_Rec.tif:Other:c:1/6 - Sequence 003/T0_FRET034,33.301,14.237,0,59,214.733,273.284,1,1
43,FRET_Rec.tif:Other:c:1/6 - Sequence 003/T0_FRET034,86.967,9.739,0,53,159.882,259.663,1,1
44,FRET_Rec.tif:Positive:c:1/6 - Sequence 003/T0_FRET034,99.168,86.885,17,167,120.781,16.164,1,1
45,FRET_Rec.tif:Positive:c:1/6 - Sequence 003/T0_FRET034,105.590,132.317,5,255,311.877,261.254,1,1
46,FRET_Rec.tif:Other:c:1/6 - Sequence 003/T0_FRET034,34.126,5.836,0,29,272.897,149.530,1,1
47,FRET_Rec.tif:Positive:c:1/6 - Sequence 003/T0_FRET034,64.950,36.845,0,119,296.318,113.059,1,1
48,FRET_Rec.tif:Other:c:1/6 - Sequence 003/T0_FRET034,68.895,28.481,0,95,610.884,407.634,1,1
49,FRET_Rec.tif:Other:c:1/6 - Sequence 003/T0_FRET034,60.914,6.550,0,35,87.311,298.340,1,1
50,FRET_Rec.tif:Positive:c:1/6 - Sequence 003/T0_FRET034,83.390,15.505,0,53,40.356,16.008,1,1
51,FRET_Rec.tif:Positive:c:1/6 - Sequence 003/T0_FRET034,53.300,47.509,0,143,369.297,145.308,1,1
52,FRET_Rec.tif:Other:c:1/6 - Sequence 003/T0_FRET034,52.382,17.657,0,53,255.828,424.251,1,1
53,FRET_Rec.tif:Positive:c:1/6 - Sequence 003/T0_FRET034,84.766,162.466,0,255,58.014,477.375,1,1
54,FRET_Rec.tif:Positive:c:1/6 - Sequence 003/T0_FRET034,69.904,47.719,0,149,581.433,326.110,1,1
55,FRET_Rec.tif:Positive:c:1/6 - Sequence 003/T0_FRET034,84.766,90.864,5,227,286.587,325.148,1,1
56,FRET_Rec.tif:Positive:c:1/6 - Sequence 003/T0_FRET034,61.006,24.161,0,71,576.932,270.604,1,1
57,FRET_Rec.tif:Other:c:1/6 - Sequence 003/T0_FRET034,63.024,14.464,0,59,113.804,409.971,1,1
58,FRET_Rec.tif:Other:c:1/6 - Sequence 003/T0_FRET034,43.759,7.826,0,41,105.852,426.376,1,1
59,FRET_Rec.tif:Positive:c:1/6 - Sequence 003/T0_FRET034,78.161,124.803,17,227,443.939,575.475,1,1
60,FRET_Rec.tif:Positive:c:1/6 - Sequence 003/T0_FRET034,77.151,164.786,23,255,615.102,418.498,1,1
61,FRET_Rec.tif:Positive:c:1/6 - Sequence 003/T0_FRET034,60.914,9.410,0,47,222.054,267.315,1,1
