 ,Label,Area,Mean,Min,Max,X,Y,Ch,Frame
1,FRET_Rec.tif:Other:c:1/6 - Sequence 004/T0_FRET020,39.906,17.002,0,47,214.048,389.371,1,1
2,FRET_Rec.tif:Positive:c:1/6 - Sequence 004/T0_FRET020,97.425,119.819,35,251,409.535,500.357,1,1
3,FRET_Rec.tif:Positive:c:1/6 - Sequence 004/T0_FRET020,85.224,106.600,29,197,409.133,401.363,1,1
4,FRET_Rec.tif:Positive:c:1/6 - Sequence 004/T0_FRET020,90.086,82.548,17,167,571.123,351.699,1,1
5,FRET_Rec.tif:Positive:c:1/6 - Sequence 004/T0_FRET020,67.519,126.728,47,251,41.712,365.882,1,1
6,FRET_Rec.tif:Positive:c:1/6 - Sequence 004/T0_FRET020,81.004,26.619,0,71,516.186,401.747,1,1
7,FRET_Rec.tif:Positive:c:1/6 - Sequence 004/T0_FRET020,102.563,112.118,17,255,490.481,395.921,1,1
8,FRET_Rec.tif:Other:c:1/6 - Sequence 004/T0_FRET020,48.071,40.179,0,113,144.918,444.152,1,1
9,FRET_Rec.tif:Positive:c:1/6 - Sequence 004/T0_FRET020,52.382,45.130,5,113,425.105,148.616,1,1
10,FRET_Rec.tif:Positive:c:1/6 - Sequence 004/T0_FRET020,65.134,114.535,29,255,308.069,192.033,1,1
11,FRET_Rec.tif:Positive:c:1/6 - Sequence 004/T0_FRET020,71.280,80.914,11,167,616.264,395.313,1,1
12,FRET_Rec.tif:Positive:c:1/6 - Sequence 004/T0_FRET020,55.593,94.356,11,209,320.827,186.102,1,1
13,FRET_Rec.tif:Positive:c:1/6 - Sequence 004/T0_FRET020,82.380,10.292,0,53,148.514,374.905,1,1
14,FRET_Rec.tif:Positive:c:1/6 - Sequence 004/T0_FRET020,34.218,11.496,0,41,617.459,315.515,1,1
15,FRET_Rec.tif:Positive:c:1/6 - Sequence 004/T0_FRET020,47.153,77.747,11,149,75.013,224.238,1,1
16,FRET_Rec.tif:Positive:c:1/6 - Sequence 004/T0_FRET020,59.996,111.321,35,233,389.869,163.118,1,1
