 ,Label,Area,Mean,Min,Max,X,Y,Ch,Frame
3196,FRET_Rec.tif:Other:c:4/6 - Sequence 001/T12_FRET023,35.502,0.313,0,11,183.521,338.721,4,4
3197,FRET_Rec.tif:Other:c:4/6 - Sequence 001/T12_FRET023,36.512,0.405,0,11,456.874,156.475,4,4
3198,FRET_Rec.tif:Other:c:4/6 - Sequence 001/T12_FRET023,33.393,1.146,0,11,553.166,3.566,4,4
3199,FRET_Rec.tif:Positive:c:4/6 - Sequence 001/T12_FRET023,79.812,17.945,0,71,155.459,591.584,4,4
3200,FRET_Rec.tif:Other:c:4/6 - Sequence 001/T12_FRET023,34.310,0.396,0,17,327.891,508.475,4,4
3201,FRET_Rec.tif:Other:c:4/6 - Sequence 001/T12_FRET023,41.924,0.849,0,11,281.374,310.639,4,4
3202,FRET_Rec.tif:Other:c:4/6 - Sequence 001/T12_FRET023,42.842,0.411,0,11,255.195,208.326,4,4
3203,FRET_Rec.tif:Other:c:4/6 - Sequence 001/T12_FRET023,42.750,0.706,0,17,500.695,433.124,4,4
3204,FRET_Rec.tif:Other:c:4/6 - Sequence 001/T12_FRET023,35.044,0.382,0,11,576.424,192.532,4,4
3205,FRET_Rec.tif:Other:c:4/6 - Sequence 001/T12_FRET023,36.787,0.357,0,11,248.433,30.484,4,4
3206,FRET_Rec.tif:Positive:c:4/6 - Sequence 001/T12_FRET023,66.602,8.482,0,35,417.570,230.905,4,4
3207,FRET_Rec.tif:Other:c:4/6 - Sequence 001/T12_FRET023,39.355,0.224,0,11,44.965,468.605,4,4
3208,FRET_Rec.tif:Positive:c:4/6 - Sequence 001/T12_FRET023,50.639,15.520,0,65,166.704,41.421,4,4
3209,FRET_Rec.tif:Other:c:4/6 - Sequence 001/T12_FRET023,34.493,0.293,0,5,272.091,535.284,4,4
3210,FRET_Rec.tif:Positive:c:4/6 - Sequence 001/T12_FRET023,93.114,73.914,5,197,356.784,358.381,4,4
3211,FRET_Rec.tif:Other:c:4/6 - Sequence 001/T12_FRET023,36.970,0.864,0,17,221.942,419.242,4,4
3212,FRET_Rec.tif:Other:c:4/6 - Sequence 001/T12_FRET023,38.163,0.447,0,11,175.255,355.087,4,4
3213,FRET_Rec.tif:Positive:c:4/6 - Sequence 001/T12_FRET023,62.840,14.388,0,53,357.322,601.030,4,4
3214,FRET_Rec.tif:Other:c:4/6 - Sequence 001/T12_FRET023,37.979,0.389,0,11,413.709,372.211,4,4
3215,FRET_Rec.tif:Positive:c:4/6 - Sequence 001/T12_FRET023,98.068,26.378,0,89,413.607,124.032,4,4
3216,FRET_Rec.tif:Other:c:4/6 - Sequence 001/T12_FRET023,37.337,1.111,0,17,452.073,268.945,4,4
3217,FRET_Rec.tif:Positive:c:4/6 - Sequence 001/T12_FRET023,55.960,17.646,0,65,534.044,584.738,4,4
3218,FRET_Rec.tif:Other:c:4/6 - Sequence 001/T12_FRET023,37.337,0.457,0,11,575.940,149.640,4,4
3219,FRET_Rec.tif:Positive:c:4/6 - Sequence 001/T12_FRET023,60.639,7.289,0,35,442.285,355.580,4,4
3220,FRET_Rec.tif:Positive:c:4/6 - Sequence 001/T12_FRET023,83.573,2.936,0,29,487.454,565.123,4,4
3221,FRET_Rec.tif:Other:c:4/6 - Sequence 001/T12_FRET023,45.227,2.799,0,23,489.527,491.376,4,4
3222,FRET_Rec.tif:Other:c:4/6 - Sequence 001/T12_FRET023,39.080,11.136,0,41,454.736,196.691,4,4
3223,FRET_Rec.tif:Other:c:4/6 - Sequence 001/T12_FRET023,55.043,1.300,0,23,515.173,559.905,4,4
3224,FRET_Rec.tif:Positive:c:4/6 - Sequence 001/T12_FRET023,68.161,28.261,0,77,523.222,471.815,4,4
3225,FRET_Rec.tif:Positive:c:4/6 - Sequence 001/T12_FRET023,59.905,2.666,0,23,38.767,38.372,4,4
3226,FRET_Rec.tif:Other:c:4/6 - Sequence 001/T12_FRET023,57.611,0.600,0,17,314.727,388.530,4,4
3227,FRET_Rec.tif:Positive:c:4/6 - Sequence 001/T12_FRET023,73.298,16.202,0,53,312.185,321.516,4,4
3228,FRET_Rec.tif:Other:c:4/6 - Sequence 001/T12_FRET023,41.374,0.780,0,11,445.291,323.032,4,4
3229,FRET_Rec.tif:Other:c:4/6 - Sequence 001/T12_FRET023,34.769,0.066,0,5,337.913,187.505,4,4
3230,FRET_Rec.tif:Other:c:4/6 - Sequence 001/T12_FRET023,50.914,1.214,0,29,454.691,493.922,4,4
3231,FRET_Rec.tif:Positive:c:4/6 - Sequence 001/T12_FRET023,50.272,8.349,0,47,476.682,212.614,4,4
3232,FRET_Rec.tif:Positive:c:4/6 - Sequence 001/T12_FRET023,51.098,11.298,0,41,18.944,339.292,4,4
